,id,start_time,end_time,ra,dec,priority,configuration,cloud
0,TYC 2667-863-1,2023-01-01 10:31:19.674,2023-01-01 10:34:19.674,294.6397590809,36.311800235,1,{},0.56017853355
1,TYC 3626-352-1,2023-01-01 10:35:19.674,2023-01-01 10:38:19.674,344.9561698636,48.54765804,1,{},0.65051727385
2,TYC 2660-2053-1,2023-01-01 10:39:19.674,2023-01-01 10:42:19.674,295.0563489722,33.2773922711,1,{},0.37339525079999997
3,TYC 2693-1451-1,2023-01-01 10:42:39.674,2023-01-01 10:45:39.674,307.1738417464,34.4320643,2,{},0.48900132184999995
4,TYC 6522-2584-1,2023-01-01 16:19:59.686,2023-01-01 16:22:59.686,103.7383837716,-23.6456993622,2,{},0.6733537674000001
5,TYC 183-1683-1,2023-01-01 17:07:19.688,2023-01-01 17:10:19.688,115.5470577405,3.3978510356,1,{},0.2625659772
6,TYC 6552-1166-1,2023-01-01 17:11:19.688,2023-01-01 17:14:19.688,115.95623167,-28.69002472,1,{},0.55496260045
7,TYC 6548-3183-1,2023-01-01 17:14:39.688,2023-01-01 17:17:39.688,116.7013223418,-26.6322786533,4,{},0.4792014258
8,TYC 6567-1949-1,2023-01-01 17:32:39.689,2023-01-01 17:35:39.689,121.9746931387,-29.5780372778,4,{},0.4765710015
9,TYC 1414-843-1,2023-01-01 19:17:19.693,2023-01-01 19:20:19.693,148.0696923971,19.048344525,2,{},0.25102916399999997
10,TYC 6630-609-1,2023-01-01 19:38:59.694,2023-01-01 19:41:59.694,153.5700412112,-28.9455362125,3,{},0.3378485302
11,TYC 353-851-1,2023-01-01 21:39:39.698,2023-01-01 21:42:39.698,238.6948768809,0.9931486972,4,{},0.31967125989999995
12,TYC 381-1067-1,2023-01-01 21:43:19.698,2023-01-01 21:46:19.698,246.6151818788,7.1942946041999996,2,{},0.4987846661
13,TYC 6146-86-1,2023-01-01 21:47:39.698,2023-01-01 21:50:39.698,213.0784723588,-19.1506070233,2,{},0.49668549965000003
14,TYC 963-937-1,2023-01-01 21:51:57.615,2023-01-01 21:54:57.615,246.1294840332,9.9291707783,2,{},0.48317467254999996
