,id,start_time,end_time,ra,dec,priority,configuration,cloud,airmass,scientific_score,ratio_to_best_airmass,expected_quality
0,451-985-1,2023-06-08 13:39:16.684,2023-06-08 14:39:16.684,281.15704639,2.12095556,1,{},0.3169038668598179,1.9507116005794538,4.0,0.26696474925979435,0.3169038668598179
1,6201-50-1,2023-06-08 14:39:56.686,2023-06-08 14:44:56.686,243.29643417,-15.11691806,1,{},0.3139476512650939,1.9418429537952817,4.0,4.7168839038513695e-05,0.3139476512650939
2,3258-1897-1,2023-06-08 14:50:36.686,2023-06-08 15:20:36.686,2.64265111,52.316755,1,{},0.7386519476250748,2.686117425043724,4.0,0.6215796574581751,0.7386519476250748
3,5095-339-1,2023-06-08 15:21:36.687,2023-06-08 15:26:36.687,268.16126389,-6.14356083,1,{},0.20372969923798445,1.6111890977139534,4.0,0.03296659940728433,0.20372969923798445
4,448-526-1,2023-06-08 15:27:16.687,2023-06-08 16:27:16.687,281.49342556,1.31704083,1,{},0.2807113240252504,1.4505607154322697,4.0,0.02127281094720758,0.2807113240252504
5,3611-631-1,2023-06-08 16:28:16.690,2023-06-08 16:38:16.690,337.38803694,47.76384889,1,{},0.13690719946020202,1.410721598380606,4.0,0.13426051392983157,0.13690719946020202
6,5734-462-1,2023-06-08 16:39:16.690,2023-06-08 16:49:16.690,292.74250028,-14.56322222,1,{},0.35089619937626565,2.052688598128797,4.0,0.06653288229533107,0.35089619937626565
7,3271-962-1,2023-06-08 16:50:16.691,2023-06-08 17:00:16.691,14.884475,48.96640861,1,{},0.644251626739347,2.1963917904937675,4.0,0.1406378518798273,0.644251626739347
8,2793-808-1,2023-06-08 17:00:56.691,2023-06-08 17:10:56.691,0.39020222,44.67544333,1,{},0.25416463501336006,1.7624939050400803,4.0,0.07955317311455738,0.25416463501336006
9,529-1856-1,2023-06-08 17:11:36.691,2023-06-08 17:21:36.691,321.46481667,0.53430889,1,{},0.25724191115560063,1.771725733466802,4.0,0.26880185390408623,0.25724191115560063
10,3260-55-1,2023-06-08 17:22:01.974,2023-06-08 17:32:01.974,8.12505278,51.72825917,1,{},0.33270748316031473,1.6814522544540766,4.0,-3.3155910991587334e-09,0.33270748316031473
