,id,start_time,end_time,ra,dec,priority,cloud,airmass
0,1640-1831-1,2023-06-08 13:35:56.683,2023-06-08 13:40:56.683,306.85653472,18.96814083,3,0.13011636603191856,2.8566498664369675
1,1079-3297-1,2023-06-08 13:41:36.684,2023-06-08 13:46:36.684,299.48394,11.41471,3,0.0,2.6948843025327363
2,3632-2011-1,2023-06-08 13:47:16.684,2023-06-08 13:52:16.684,337.81258556,50.87234833,3,0.2234143168318482,2.4951906587568837
3,4038-622-1,2023-06-08 13:52:56.684,2023-06-08 13:57:56.684,20.27161972,64.65818556,3,0.2720729922315504,2.7508936525210093
4,451-985-1,2023-06-08 13:58:56.684,2023-06-08 14:03:56.684,281.15704639,2.12095556,3,0.0,1.9700281887890914
5,1640-1763-1,2023-06-08 14:04:36.684,2023-06-08 14:09:36.684,307.53037806,19.4301525,2,0.0,2.325185918024748
6,5140-4781-1,2023-06-08 14:10:16.685,2023-06-08 14:15:16.685,285.42016806,-5.73902333,2,0.19203929023955324,2.517519627710233
7,2745-2802-1,2023-06-08 14:16:16.685,2023-06-08 14:21:16.685,333.69356861,36.15544833,2,0.0,2.885795198762439
8,1651-1090-1,2023-06-08 14:21:56.685,2023-06-08 14:26:56.685,312.65423083,18.05125556,2,0.0,2.4567669459731665
9,1659-1521-1,2023-06-08 14:27:36.685,2023-06-08 14:32:36.685,312.09782944,21.23328889,2,0.097706973228193,2.16598937509467
10,2172-1566-1,2023-06-08 14:33:16.685,2023-06-08 14:38:16.685,315.59068583,23.32429111,2,0.26349880987787055,2.1780711593519735
11,4279-565-1,2023-06-08 14:38:56.686,2023-06-08 14:43:56.686,350.08675667,60.27476972,2,0.002916228944328636,2.0069014931320384
12,5095-339-1,2023-06-08 14:44:56.686,2023-06-08 14:49:56.686,268.16126389,-6.14356083,2,0.0,1.71438970658822
13,3988-1851-1,2023-06-08 14:50:56.686,2023-06-08 14:55:56.686,342.44843806,54.84682778,2,0.0,1.9166484091190368
14,2728-1055-1,2023-06-08 14:56:36.686,2023-06-08 15:01:36.686,331.76361611,34.52131583,2,0.0,2.2042621680352505
15,5106-428-1,2023-06-08 15:02:36.687,2023-06-08 15:07:36.687,274.95045333,-4.9617025,2,0.0,1.7045703809374428
16,2687-1355-1,2023-06-08 15:08:16.687,2023-06-08 15:13:16.687,312.15663528,30.79293722,2,0.0,1.5396322172267978
17,3619-1622-1,2023-06-08 15:13:56.687,2023-06-08 15:18:56.687,335.09461361,51.86100083,2,0.0,1.6706823305005547
18,1645-216-1,2023-06-08 15:19:36.687,2023-06-08 15:24:36.687,308.02652306,22.01413639,2,0.16477050608599642,1.5459152647579188
19,471-1058-1,2023-06-08 15:25:16.687,2023-06-08 15:30:16.687,288.69099861,4.62006472,2,0.0,1.532175314216203
20,3180-149-1,2023-06-08 15:30:56.688,2023-06-08 15:35:56.688,316.94809472,44.96424389,2,0.0,1.3524299878384736
21,3238-796-1,2023-06-08 15:36:36.688,2023-06-08 15:41:36.688,351.03698889,41.61286944,1,0.19539921574691416,2.333393313197206
22,1057-2439-1,2023-06-08 15:42:16.688,2023-06-08 15:47:16.688,295.69109,8.38263833,1,0.0,1.4840160926876809
23,5692-1865-1,2023-06-08 15:47:56.688,2023-06-08 15:52:56.688,280.00166667,-7.79071306,1,0.05757718343216267,1.7249674541904976
24,4029-346-1,2023-06-08 15:53:56.688,2023-06-08 15:58:56.688,13.52512528,66.43553056,1,0.0722868136266368,1.889236819235682
25,5735-2675-1,2023-06-08 15:59:56.689,2023-06-08 16:04:56.689,294.45242528,-13.95634111,1,0.3798673744869744,2.307096392676558
26,5127-1559-1,2023-06-08 16:05:36.689,2023-06-08 16:10:36.689,284.69709,-5.63484361,1,0.2153328078134812,1.6458009806527012
27,3623-2738-1,2023-06-08 16:11:36.689,2023-06-08 16:16:36.689,346.91365583,46.38729833,1,0.0,1.7123952177319568
28,3595-2029-1,2023-06-08 16:17:16.689,2023-06-08 16:22:16.689,325.29231667,47.54518944,1,0.0,1.2932649079794527
29,5091-713-1,2023-06-08 16:23:16.689,2023-06-08 16:28:16.689,269.19895222,-4.08180333,1,0.07198683680918855,1.4919647412820063
30,545-1304-1,2023-06-08 16:30:16.690,2023-06-08 16:35:16.690,328.96720861,0.30027667,1,0.0,2.578898262267942
31,483-2527-1,2023-06-08 16:35:56.690,2023-06-08 16:40:56.690,294.70412917,3.38152306,1,0.0,1.4125196601587329
32,5125-325-1,2023-06-08 16:41:36.690,2023-06-08 16:46:36.690,281.13892222,-7.11059417,1,0.020478428533384496,1.6007989458982934
33,5740-2007-1,2023-06-08 16:47:16.690,2023-06-08 16:52:16.690,304.03511806,-7.73216417,1,0.0,1.8711597948341914
34,1631-2466-1,2023-06-08 16:52:56.691,2023-06-08 16:57:56.691,305.31449,15.10431583,1,0.0,1.2615279458374695
35,533-1628-1,2023-06-08 16:58:36.691,2023-06-08 17:03:36.691,320.649675,2.91853056,1,0.0,1.762414556782472
36,2716-2651-1,2023-06-08 17:04:16.691,2023-06-08 17:09:16.691,322.81291444,35.8735325,1,0.0,1.2015210145384434
37,3663-2668-1,2023-06-08 17:09:56.691,2023-06-08 17:14:56.691,10.12662278,56.53740694,1,0.17538565534267203,1.711999069480395
38,529-1856-1,2023-06-08 17:15:56.691,2023-06-08 17:20:56.691,321.46481667,0.53430889,1,0.0,1.759587899096692
39,1683-481-1,2023-06-08 17:21:36.692,2023-06-08 17:26:36.692,329.25897111,17.68198861,1,0.17832066374940925,1.4402071241581147
40,1706-674-1,2023-06-08 17:27:01.974,2023-06-08 17:32:01.974,343.51905139,19.59797639,1,0.1002854540817894,1.692235161283632
